date,balance,margin,available,short_balance,ery,long_balance,commission,net_pnl,count,turnover,return,high_level,draw_down,dd_percent,return_x
2020-04-01,100000.0,0.0,100000.0,100000.0,{},100000.0,0.0,0.0,0,0.0,0.0,100000.0,0.0,0.0,1.0
2020-04-02,100000.0,0.0,100000.0,100000.0,{},100000.0,0.0,0.0,0,0.0,0.0,100000.0,0.0,0.0,1.0
2020-04-03,99371.22099780274,9597.0007324218,89774.22026538094,100000.0,{'rb2010.SHFE': -628.7790021972654},100000.0,28.779002197265402,-628.7790021972614,6,19203.0014648436,-0.006307641431733352,100000.0,-628.7790021972614,-0.6287790021972615,0.9936923585682667
2020-04-07,99872.75199487305,9624.0007324218,90248.75126245125,98742.44199560548,{'rb2010.SHFE': 501.53099707031276},98742.44199560548,38.46900292968721,501.53099707030924,6,19218.0014648436,0.00503435109026497,100000.0,-127.2480051269522,-0.1272480051269522,1.005034351090265
2020-04-08,100174.79199047852,9723.0007324218,90451.79125805672,100374.28299194336,{'rb2010.SHFE': 302.0399956054692},100374.28299194336,57.96000439453081,302.03999560547527,9,29016.0021972654,0.0030196844120219577,100174.79199047852,0.0,0.0,1.003019684412022
2020-04-09,101975.15798828125,0.0,101975.15798828125,100476.831986084,{'rb2010.SHFE': 1800.3659978027347},100476.831986084,29.634002197265403,1800.365997802728,3,9864.0007324218,0.017812654428221556,101975.15798828125,0.0,0.0,1.0178126544282216
2020-04-10,102855.29198461914,9972.000732421802,92883.29125219733,103775.52398608398,{'rb2010.SHFE': 880.133996337891},103775.52398608398,49.86600366210901,880.133996337885,9,29946.0021972654,0.008593833712035707,102855.29198461914,0.0,0.0,1.0085938337120357
2020-04-13,104604.45398095703,0.0,104604.45398095703,103735.42598095702,{'rb2010.SHFE': 1749.161996337891},103735.42598095702,50.838003662109,1749.1619963378907,6,20343.0014648436,0.0168630636052667,104604.45398095703,0.0,0.0,1.0168630636052667
2020-04-14,103603.64197802734,0.0,103603.64197802734,106353.61597729492,{'rb2010.SHFE': -1000.8120029296872},106353.61597729492,40.812002929687196,-1000.8120029296842,6,20454.0014648436,-0.009613648368618728,104604.45398095703,-1000.8120029296842,-0.9567584981724389,0.9903863516313812
2020-04-15,102312.83497363281,0.0,102312.83497363281,102602.82997509766,{'rb2010.SHFE': -1290.8070043945308},102602.82997509766,60.807004394530814,-1290.8070043945336,9,30465.0021972654,-0.012537354285045104,104604.45398095703,-2291.619007324218,-2.1907470667944993,0.9874626457149549
2020-04-16,103142.24197070312,0.0,103142.24197070312,101022.02796923828,{'rb2010.SHFE': 829.4069970703129},101022.02796923828,40.5930029296872,829.4069970703131,6,20253.0014648436,0.008073896396259899,104604.45398095703,-1462.2120102539047,-1.3978487096927026,1.0080738963962599
2020-04-17,102941.28396704102,10143.000732421802,92798.28323461922,103971.64896777344,{'rb2010.SHFE': -200.958003662109},103971.64896777344,50.95800366210901,-200.9580036621046,9,30558.0021972654,-0.0019502584347111523,104604.45398095703,-1663.1700139160093,-1.5899609917363415,0.9980497415652888
2020-04-20,102760.91196484375,0.0,102760.91196484375,102740.32596337891,{'rb2010.SHFE': -180.3720021972654},102740.32596337891,30.372002197265406,-180.37200219726947,3,10122.0007324218,-0.0017537202032140663,104604.45398095703,-1843.5420161132788,-1.762393422032384,0.9982462797967859
2020-04-21,103151.03496264649,9969.000732421802,93182.03423022469,102580.53996264648,{'rb2010.SHFE': 390.1229978027346},102580.53996264648,29.8770021972654,390.12299780274043,6,19923.0014648436,0.0037892261271251075,104604.45398095703,-1453.4190183105384,-1.3894427655777732,1.003789226127125
2020-04-22,103621.0479597168,10047.000732421802,93574.047227295,103541.15796044923,{'rb2010.SHFE': 470.0129970703128},103541.15796044923,39.98700292968721,470.01299707031285,6,20046.0014648436,0.004546201788407196,104604.45398095703,-983.4060212402255,-0.9401186888459377,1.0045462017884073
2020-04-23,104130.75095751953,0.0,104130.75095751953,104091.06095678711,{'rb2010.SHFE': 509.7029978027346},104091.06095678711,30.297002197265403,509.7029978027276,3,10098.0007324218,0.004906855422144844,104604.45398095703,-473.7030234374979,-0.4528516763958582,1.0049068554221448
2020-04-24,104210.77895239257,10008.000732421802,94202.77821997077,104640.45395532226,{'rb2010.SHFE': 80.02799487304739},104640.45395532226,69.97200512695261,80.02799487304583,12,39993.0029296872,0.0007682385633208619,104604.45398095703,-393.6750285644521,-0.3763463347709072,1.0007682385633208
2020-04-27,103650.71794873047,0.0,103650.71794873047,104290.80694726562,{'rb2010.SHFE': -560.061003662109},104290.80694726562,50.061003662109,-560.0610036621074,6,20052.0014648436,-0.00538880328797204,104604.45398095703,-953.7360322265595,-0.9117547063533114,0.9946111967120279
